날짜,노선,방향,첫차~09시,09시~18시,18시~막차
25일전 (2025-08-22),신정지선,,,,
25일전 (2025-08-22),3호선,상행선,5분 지연,,
25일전 (2025-08-22),3호선,하행선,5분 지연,,
25일전 (2025-08-22),4호선,상행선,10분 지연,,
25일전 (2025-08-22),4호선,하행선,10분 지연,,
25일전 (2025-08-22),5호선,방화행,,,
25일전 (2025-08-22),5호선,하남검단산행,,,
25일전 (2025-08-22),5호선,마천행,,,
25일전 (2025-08-22),6호선,응암순환행,,,
25일전 (2025-08-22),6호선,봉화산행,,,
25일전 (2025-08-22),7호선,장암행,,,
25일전 (2025-08-22),7호선,온수행,,,
25일전 (2025-08-22),7호선,석남행,,,
25일전 (2025-08-22),8호선,상행선,,,
25일전 (2025-08-22),8호선,하행선,,,
25일전 (2025-08-22),9호선,상행선,,,
25일전 (2025-08-22),9호선,하행선,,,
26일전 (2025-08-21),1호선,상행선,,,
26일전 (2025-08-21),1호선,하행선,,,
26일전 (2025-08-21),2호선,내선,10분 지연,,
26일전 (2025-08-21),2호선,외선,10분 지연,,
26일전 (2025-08-21),2호선,외선,,,
26일전 (2025-08-21),2호선,성수지선,,,
26일전 (2025-08-21),신정지선,,,,
26일전 (2025-08-21),3호선,상행선,5분 지연,,
26일전 (2025-08-21),3호선,하행선,5분 지연,,
26일전 (2025-08-21),4호선,상행선,15분 지연,,
26일전 (2025-08-21),4호선,하행선,10분 지연,,
26일전 (2025-08-21),5호선,방화행,,,
26일전 (2025-08-21),5호선,하남검단산행,,,
26일전 (2025-08-21),5호선,마천행,,,
26일전 (2025-08-21),6호선,응암순환행,,,
26일전 (2025-08-21),6호선,봉화산행,10분 지연,10분 지연,
26일전 (2025-08-21),7호선,장암행,,,
26일전 (2025-08-21),7호선,온수행,,,
26일전 (2025-08-21),7호선,석남행,,,
26일전 (2025-08-21),8호선,상행선,,,
26일전 (2025-08-21),8호선,하행선,,,
26일전 (2025-08-21),9호선,상행선,,,
26일전 (2025-08-21),9호선,하행선,,,
27일전 (2025-08-20),1호선,상행선,,,
27일전 (2025-08-20),1호선,하행선,,,
27일전 (2025-08-20),2호선,내선,5분 지연,,
27일전 (2025-08-20),2호선,외선,5분 지연,,
27일전 (2025-08-20),2호선,외선,,,
27일전 (2025-08-20),2호선,성수지선,,,
27일전 (2025-08-20),신정지선,,,,
27일전 (2025-08-20),3호선,상행선,5분 지연,,
27일전 (2025-08-20),3호선,하행선,10분 지연,,
27일전 (2025-08-20),4호선,상행선,15분 지연,,
27일전 (2025-08-20),4호선,하행선,25분 지연,,
27일전 (2025-08-20),5호선,방화행,,,
27일전 (2025-08-20),5호선,하남검단산행,,,
27일전 (2025-08-20),5호선,마천행,,,
27일전 (2025-08-20),6호선,응암순환행,,,
27일전 (2025-08-20),6호선,봉화산행,,,
27일전 (2025-08-20),7호선,장암행,,,
27일전 (2025-08-20),7호선,온수행,,,
27일전 (2025-08-20),7호선,석남행,,,
27일전 (2025-08-20),8호선,상행선,,,
27일전 (2025-08-20),8호선,하행선,,,
27일전 (2025-08-20),9호선,상행선,,,
27일전 (2025-08-20),9호선,하행선,,,
28일전 (2025-08-19),1호선,상행선,,,
28일전 (2025-08-19),1호선,하행선,,,
28일전 (2025-08-19),2호선,내선,,,
28일전 (2025-08-19),2호선,외선,,,
28일전 (2025-08-19),2호선,외선,,,
28일전 (2025-08-19),2호선,성수지선,,,
28일전 (2025-08-19),신정지선,,,,
28일전 (2025-08-19),3호선,상행선,5분 지연,,
28일전 (2025-08-19),3호선,하행선,5분 지연,,
28일전 (2025-08-19),4호선,상행선,10분 지연,,
28일전 (2025-08-19),4호선,하행선,10분 지연,,
28일전 (2025-08-19),5호선,방화행,,,
28일전 (2025-08-19),5호선,하남검단산행,10분 지연,,
28일전 (2025-08-19),5호선,마천행,10분 지연,,
28일전 (2025-08-19),6호선,응암순환행,,,
28일전 (2025-08-19),6호선,봉화산행,,,
28일전 (2025-08-19),7호선,장암행,,,
28일전 (2025-08-19),7호선,온수행,,,
28일전 (2025-08-19),7호선,석남행,,,
28일전 (2025-08-19),8호선,상행선,5분 지연,,
28일전 (2025-08-19),8호선,하행선,,,
28일전 (2025-08-19),9호선,상행선,,,
28일전 (2025-08-19),9호선,하행선,,,
29일전 (2025-08-18),1호선,상행선,10분 지연,,
29일전 (2025-08-18),1호선,하행선,5분 지연,,
29일전 (2025-08-18),2호선,내선,5분 지연,,
29일전 (2025-08-18),2호선,외선,10분 지연,,
29일전 (2025-08-18),2호선,외선,,,
29일전 (2025-08-18),2호선,성수지선,,,
29일전 (2025-08-18),신정지선,,,,
29일전 (2025-08-18),3호선,상행선,5분 지연,,
29일전 (2025-08-18),3호선,하행선,5분 지연,,
29일전 (2025-08-18),4호선,상행선,15분 지연,,
29일전 (2025-08-18),4호선,하행선,10분 지연,,
29일전 (2025-08-18),5호선,방화행,5분 지연,,
29일전 (2025-08-18),5호선,하남검단산행,,,
29일전 (2025-08-18),5호선,마천행,,,
29일전 (2025-08-18),6호선,응암순환행,,,
29일전 (2025-08-18),6호선,봉화산행,,,
29일전 (2025-08-18),7호선,장암행,,,
29일전 (2025-08-18),7호선,온수행,,,
29일전 (2025-08-18),7호선,석남행,,,
29일전 (2025-08-18),8호선,상행선,,,
29일전 (2025-08-18),8호선,하행선,,,
29일전 (2025-08-18),9호선,상행선,,,
29일전 (2025-08-18),9호선,하행선,,,
30일전 (2025-08-17),1호선,상행선,,,
30일전 (2025-08-17),1호선,하행선,,,
30일전 (2025-08-17),2호선,내선,,,
30일전 (2025-08-17),2호선,외선,,,
30일전 (2025-08-17),2호선,외선,,,
30일전 (2025-08-17),2호선,성수지선,,,
30일전 (2025-08-17),신정지선,,,,
30일전 (2025-08-17),3호선,상행선,,,
30일전 (2025-08-17),3호선,하행선,,,
30일전 (2025-08-17),4호선,상행선,,,
30일전 (2025-08-17),4호선,하행선,,,
30일전 (2025-08-17),5호선,방화행,,,
30일전 (2025-08-17),5호선,하남검단산행,,,
30일전 (2025-08-17),5호선,마천행,,,
30일전 (2025-08-17),6호선,응암순환행,,,
30일전 (2025-08-17),6호선,봉화산행,,,
30일전 (2025-08-17),7호선,장암행,,,
30일전 (2025-08-17),7호선,온수행,,,
30일전 (2025-08-17),7호선,석남행,,,
30일전 (2025-08-17),8호선,상행선,,,
30일전 (2025-08-17),8호선,하행선,,,
30일전 (2025-08-17),9호선,상행선,,,
30일전 (2025-08-17),9호선,하행선,,,
