datetime,날짜,시간,요일,요일구분,is_weekend,호선,방향,상하구분,delay_min,is_delay_1m,is_delay_5m,혼잡도(%),기온_평균(°C),습도_평균(%),풍속_평균(m/s),현지기압_평균(hPa),해면기압_평균(hPa),강수량_30분(mm),우천여부,지연값,혼잡도_결측,혼잡도(%)_imputed
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,1호선,상행선,상선,0,0,0,7.260000000000001,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,7.260000000000001
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,1호선,하행선,하선,0,0,0,15.47,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,15.47
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,1호선,소요산방면,,10,1,1,11.365,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,10,0,11.365
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,1호선,신창방면,,10,1,1,11.365,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,10,0,11.365
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,1호선,인천방면,,10,1,1,11.365,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,10,0,11.365
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,2호선,내선,,10,1,1,24.336111111111112,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,10,0,24.336111111111112
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,2호선,외선,,5,1,1,24.336111111111112,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,5,0,24.336111111111112
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,2호선,성수지선,,0,0,0,24.336111111111112,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,24.336111111111112
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,2호선,신정지선,,0,0,0,24.336111111111112,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,24.336111111111112
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,3호선,상행선,상선,0,0,0,10.16764705882353,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,10.16764705882353
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,3호선,하행선,하선,0,0,0,21.45,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,21.45
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,3호선,대화방면,,0,0,0,15.808823529411764,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,15.808823529411764
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,3호선,오금방면,,5,1,1,15.808823529411764,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,5,0,15.808823529411764
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,4호선,상행선,상선,0,0,0,17.4,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,17.4
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,4호선,하행선,하선,0,0,0,33.315384615384616,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,33.315384615384616
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,4호선,당고개방면,,20,1,1,25.357692307692307,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,20,0,25.357692307692307
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,4호선,오이도방면,,10,1,1,25.357692307692307,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,10,0,25.357692307692307
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,5호선,방화행,,0,0,0,18.56017699115045,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,18.56017699115045
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,5호선,하남검단산행,,0,0,0,18.56017699115045,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,18.56017699115045
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,5호선,마천행,,0,0,0,18.56017699115045,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,18.56017699115045
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,6호선,응암순환행,,0,0,0,13.475675675675676,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,13.475675675675676
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,6호선,봉화산행,,0,0,0,13.475675675675676,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,13.475675675675676
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,7호선,장암행,,0,0,0,35.90119047619047,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,35.90119047619047
2025-09-17 05:30:00,2025-09-17,05:30,수,평일,False,7호선,온수행,,0,0,0,35.90119047619047,23.5,93.43666666666668,1.653333333333333,999.6166666666668,1009.4166666666666,0.0,0,0,0,35.90119047619047
