날짜,호선,방향,시간,지연값,datetime,요일,is_weekend,요일구분,delay_min,is_delay_1m,is_delay_5m,상하구분,혼잡도(%),기온_평균(°C),습도_평균(%),풍속_평균(m/s),현지기압_평균(hPa),해면기압_평균(hPa),강수량_30분(mm),우천여부
2025-09-17,1호선,상행선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,상선,7.260000000000001,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,1호선,하행선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,하선,15.469999999999999,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,1호선,소요산방면,05:30,10,2025-09-17 05:30:00,수,0,평일,10,1,1,,11.365,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,1호선,신창방면,05:30,10,2025-09-17 05:30:00,수,0,평일,10,1,1,,11.365,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,1호선,인천방면,05:30,10,2025-09-17 05:30:00,수,0,평일,10,1,1,,11.365,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,2호선,내선,05:30,10,2025-09-17 05:30:00,수,0,평일,10,1,1,,24.336111111111112,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,2호선,외선,05:30,5,2025-09-17 05:30:00,수,0,평일,5,1,1,,24.336111111111112,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,2호선,성수지선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,24.336111111111112,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,2호선,신정지선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,24.336111111111112,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,3호선,상행선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,상선,10.16764705882353,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,3호선,하행선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,하선,21.45,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,3호선,대화방면,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,15.808823529411764,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,3호선,오금방면,05:30,5,2025-09-17 05:30:00,수,0,평일,5,1,1,,15.808823529411764,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,4호선,상행선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,상선,17.4,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,4호선,하행선,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,하선,33.315384615384616,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,4호선,당고개방면,05:30,20,2025-09-17 05:30:00,수,0,평일,20,1,1,,25.357692307692307,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,4호선,오이도방면,05:30,10,2025-09-17 05:30:00,수,0,평일,10,1,1,,25.357692307692307,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,5호선,방화행,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,18.560176991150446,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,5호선,하남검단산행,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,18.560176991150446,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,5호선,마천행,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,18.560176991150446,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,6호선,응암순환행,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,13.475675675675676,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,6호선,봉화산행,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,13.475675675675676,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
2025-09-17,7호선,장암행,05:30,0,2025-09-17 05:30:00,수,0,평일,0,0,0,,35.90119047619047,23.5,93.43666666666667,1.6533333333333333,999.6166666666667,1009.4166666666666,0.0,0
